,,BusStopCode,RoadName,Description,Latitude,Longitude,UpDown,LeftRight,HDB_Bus_Distance,Postal
,264,76269,Tampines St 45,Opp Blk 489A,1.361878204,103.9573982,26,0,159.9122544,521490
,265,76271,Tampines St 45,Dunman Sec Sch,1.361811672,103.9551834,26,0,114.5249562,521490
,266,76279,Tampines St 45,Blk 491C,1.361885607,103.9550458,26,0,123.7518418,521490
46671,137,84259,Bedok Nth Ave 4,Blk 88,1.333288076,103.9391068,23,-5,199.7458887,464094
,138,84261,Bedok Nth Ave 4,Saint Anthony's Canossian School,1.334189,103.941658,23,-5,128.7775262,464094
,139,84269,Bedok Nth Ave 4,Blk 95,1.334023333,103.9418503,23,-5,131.6519185,464094
69544,263,76261,Tampines St 45,Blk 489B,1.361640056,103.9574003,26,0,97.67457237,522489
,264,76269,Tampines St 45,Opp Blk 489A,1.361878204,103.9573982,26,0,96.6387484,522489
,265,76271,Tampines St 45,Dunman Sec Sch,1.361811672,103.9551834,26,0,149.7736423,522489
,266,76279,Tampines St 45,Blk 491C,1.361885607,103.9550458,26,0,165.3962001,522489
,276,76349,Tampines Ave 9,Dunman Sec Sch,1.360385137,103.9555657,26,0,188.9013584,522489
12393,263,76261,Tampines St 45,Blk 489B,1.361640056,103.9574003,26,0,64.538351,520489
,264,76269,Tampines St 45,Opp Blk 489A,1.361878204,103.9573982,26,0,90.04260384,520489
,276,76349,Tampines Ave 9,Dunman Sec Sch,1.360385137,103.9555657,26,0,199.9081948,520489
35273,296,76461,Tampines St 34,Eden Condo,1.356109722,103.9598183,27,-1,196.3421334,520365
,297,76469,Tampines St 34,East Spring Sec Sch,1.356303394,103.9598505,27,-1,175.6877444,520365
44502,274,76339,Tampines St 11,Opp Tampines Changkat Cc,1.345471667,103.9469842,24,-3,178.3419611,521138
38163,136,84251,Bedok Nth Ave 4,Blk 99,1.333468321,103.938838,23,-5,140.2016235,460098
,137,84259,Bedok Nth Ave 4,Blk 88,1.333288076,103.9391068,23,-5,132.9954011,460098
74701,292,76441,Tampines St 33,OPP BLK 345,1.352195034,103.9610519,27,-2,61.33154317,520335
,293,76449,Tampines St 33,Blk 343,1.352075082,103.9611301,27,-2,76.22739712,520335
,294,76451,Tampines St 33,BLK 324,1.35220341,103.9592861,27,-2,149.0391703,520335
12449,259,76241,Tampines Ave 7,Blk 497D,1.358458027,103.9591706,27,0,198.1158927,521487
,261,76251,Tampines St 45,Blk 487B,1.359708269,103.9582372,27,0,30.81418754,521487
,262,76259,Tampines St 45,Opp Blk 487B,1.359670158,103.9584245,27,0,40.14969294,521487
59145,157,84361,Bedok Nth Rd,Blk 547,1.329366389,103.924625,20,-6,160.8651711,461043
,158,84369,Bedok Nth Rd,Blk 45,1.329162,103.924608,20,-6,147.2802608,461043
35249,294,76451,Tampines St 33,BLK 324,1.35220341,103.9592861,27,-2,118.7691499,520339
,295,76459,Tampines St 33,Blk 323,1.352080031,103.9587319,27,-2,112.4933482,520339
1114,306,53341,Sin Ming Ave,Bright Hill Stn Exit 2,1.363556389,103.8339417,2,1,32.38826444,570407
,307,53349,Sin Ming Ave,Bright Hill Stn Exit 1,1.363739827,103.8337932,2,1,56.57202,570407
84325,168,75269,Tampines Ave 6,Opp Blks 710/713,1.359172864,103.9381421,23,0,81.16135024,522523
,195,75471,Tampines Ave 6,Blk 602B,1.361598056,103.9379408,23,0,198.0773089,522523
,299,76511,Tampines Concourse,The Tampines Trilliant,1.359138,103.939389,23,0,138.7915171,522523
,300,76519,Tampines Concourse,BET BLKS 524B/523D,1.359206245,103.9392187,23,0,119.1146879,522523
45564,292,76441,Tampines St 33,OPP BLK 345,1.352195034,103.9610519,27,-2,107.6508134,520333
,293,76449,Tampines St 33,Blk 343,1.352075082,103.9611301,27,-2,121.3579939,520333
12984,171,75281,Tampines Ave 9,Blk 742A,1.360227893,103.9336381,22,0,70.19240426,520741
,172,75289,Tampines Ave 9,Opp Blks 741/742,1.360456672,103.9333167,22,0,57.93566247,520741
53341,113,84119,Bedok Sth Rd,Opp Temasek JC,1.319689028,103.9350681,22,-8,152.652002,460020
66083,310,53361,Sin Ming Ave,Blk 454,1.359298333,103.8303208,1,0,54.64423761,570453
,311,53369,Sin Ming Ave,Opp Blk 454,1.359473443,103.8301456,1,0,54.86295794,570453
23924,292,76441,Tampines St 33,OPP BLK 345,1.352195034,103.9610519,27,-2,87.79043208,520336
,293,76449,Tampines St 33,Blk 343,1.352075082,103.9611301,27,-2,101.3703535,520336
,294,76451,Tampines St 33,BLK 324,1.35220341,103.9592861,27,-2,119.9854113,520336
,295,76459,Tampines St 33,Blk 323,1.352080031,103.9587319,27,-2,182.9193135,520336
580,145,84301,Bedok Nth Ave 1,Blk 41,1.327821402,103.9265663,20,-7,86.31140247,461042
,146,84309,Bedok Nth Ave 1,Blk 423,1.328028033,103.926874,20,-7,118.8122815,461042
,187,84541,Chai Chee St,Blk 42,1.327618019,103.9251916,20,-7,78.97496296,461042
,188,84549,Chai Chee St,Opp Blk 42,1.327201689,103.9251209,20,-7,114.9049103,461042
77814,265,76271,Tampines St 45,Dunman Sec Sch,1.361811672,103.9551834,26,0,130.2291068,525491
