,,BusStopCode,RoadName,Description,Latitude,Longitude,UpDown,LeftRight,HDB_Bus_Distance,Postal
,212,84669,Bedok Sth Ave 3,Blk 73,1.319941112,103.9441816,24,-8,174.4020113,460171
,215,84681,Bedok Sth Rd,Blk 163,1.320218344,103.9470593,24,-8,196.0351653,460171
,216,84691,Bedok Sth Rd,Blk 171,1.321118056,103.9459575,24,-8,63.62903569,460171
62482,346,61009,Potong Pasir Ave 1,Blk 122,1.335211667,103.8666325,8,-5,126.623108,350127
,357,61079,Potong Pasir Ave 1,Blk 121,1.335986409,103.8652543,8,-5,109.2866308,350127
8006,418,11551,Stirling Rd,Tiong Ghee Tp,1.291267031,103.804096,-4,-14,143.5623052,140169
38966,69,44329,Bt Panjang Ring Rd,Bangkit Stn,1.380215011,103.7725763,-10,4,148.2855152,670246
,167,44921,Bt Panjang Ring Rd,Opp Greenridge Sec Sch,1.3822735,103.772836,-10,4,109.9311682,670246
,168,44929,Bt Panjang Ring Rd,Greenridge Sec Sch,1.3827025,103.7730945,-10,4,148.6793814,670246
59278,153,52021,Braddell Rd,OPP BLK 1004,1.344313138,103.8476609,5,-3,102.0728042,570101
1127,280,53211,Bishan Rd,Opp Raffles Instn,1.347071695,103.8471267,4,-3,133.2776557,570105
,281,53219,Bishan Rd,Raffles Instn,1.346061111,103.8465836,4,-3,88.7064182,570105
65537,430,46951,Woodlands Dr 14,Blk 536A,1.431436922,103.791333,-7,14,105.9786082,732570
,433,46971,Woodlands Ave 1,Woodgrove Pr Sch,1.431875556,103.7903425,-7,14,90.93540702,732570
,434,46979,Woodlands Ave 1,Opp Blk 507,1.431305556,103.7906544,-7,14,34.83857622,732570
,133,58461,Champions Way,Innova Pr Sch,1.429655918,103.7904456,-7,14,156.2949617,732570
43072,376,67411,Sengkang East Rd,Opp Sengkang General Hosp,1.394956244,103.8943683,14,7,161.912237,542261
,377,67419,Sengkang East Rd,Sengkang General Hosp,1.394510564,103.8938828,14,7,121.6632494,542261
75155,141,65341,Punggol Field,Opp Blk 272C,1.40194695,103.900923,15,8,56.62055859,821208
,142,65349,Punggol Field,Blk 272C,1.402220886,103.9007796,15,8,84.12320377,821208
73317,214,17371,Clementi Ave 6,Blk 201,1.320581947,103.7635659,-12,-8,196.8494698,120302
,215,17379,Clementi Ave 6,Blk 304,1.320490892,103.7638943,-12,-8,178.5983491,120302
77058,88,83341,Lengkong Tiga,Blk 102,1.325399682,103.911098,17,-7,75.02761522,410103
71883,48,44211,Petir Rd,Blk 127,1.376100158,103.7692182,-11,3,122.8099491,670141
,49,44219,Petir Rd,Bet Blks 139/140,1.375783333,103.7693522,-11,3,135.3886153,670141
2299,129,44651,Bt Panjang Ring Rd,Blk 617,1.38533395,103.7628965,-12,5,180.9441258,670650
,140,44721,Bt Panjang Ring Rd,Opp Jelapang Stn,1.386791083,103.764919,-12,5,179.069807,670650
,151,44821,Senja Link,Blk 651,1.386376111,103.7633844,-12,5,59.90871196,670650
,152,44829,Senja Link,Opp Blk 650,1.386714167,103.7630575,-12,5,35.53499048,670650
,169,44931,Senja Close,Blk 643 CP,1.387703,103.763361,-12,5,88.1247787,670650
13415,184,52201,Lor 2 Toa Payoh,Blk 121,1.339180307,103.8465076,4,-4,106.9498264,310123
,185,52209,Lor 2 Toa Payoh,Blk 101C CP,1.339258732,103.8467845,4,-4,137.7312598,310123
7541,136,65319,Punggol Dr,Oasis Stn Exit A,1.402578056,103.912445,17,8,70.21235656,823617
71864,72,44341,Fajar Rd,Blk 401A CP,1.381170297,103.7691773,-11,4,189.9703479,670404
,119,44601,Saujana Rd,Blk 413,1.382133371,103.7684504,-11,4,193.6549728,670404
,120,44609,Saujana Rd,Blk 408,1.382014552,103.7681709,-11,4,167.5201386,670404
50193,396,67511,Sengkang East Dr,Blk 121E,1.386030416,103.9062452,16,5,79.87351195,540122
,397,67519,Sengkang East Dr,Opp Blk 121E,1.385653333,103.9062883,16,5,111.6662758,540122
,400,67531,Sengkang East Way,Blk 158C,1.387868072,103.9067669,16,5,146.1681829,540122
,401,67539,Sengkang East Way,Blk 122C,1.387720204,103.9066129,16,5,130.5099966,540122
70748,129,65271,Punggol Ctrl,Opp Blk 188,1.400166,103.910274,17,8,144.0161484,821624
,130,65279,Punggol Ctrl,Bet Blks 187/188,1.399297261,103.911034,17,8,177.6586211,821624
73168,149,84321,Bedok Nth Rd,Blk 516,1.330600636,103.9297739,21,-6,59.00335305,460516
,150,84329,Bedok Nth Rd,Blk 414,1.330293232,103.9297006,21,-6,93.1360605,460516
,167,84421,Bedok Nth Ave 2,Blk 510,1.332322701,103.9303205,21,-6,143.5446416,460516
,168,84429,Bedok Nth Ave 2,Blk 515,1.332225263,103.9301433,21,-6,129.8404238,460516
47610,60,44271,Teck Whye Ave,Bet Blks 13/14,1.378671147,103.7561477,-14,4,45.17628729,680013
,61,44279,Teck Whye Ave,Blk 157,1.379108677,103.7563546,-14,4,59.05943609,680013
,86,44439,Teck Whye Lane,Blk 9,1.37983733,103.754295,-14,4,198.7253212,680013
47704,248,45421,Choa Chu Kang Cres,Opp Blk 666,1.402748849,103.7505093,-15,8,96.14302516,680665
,249,45439,Choa Chu Kang Cres,Opp Blk 661,1.401271944,103.7511553,-15,8,144.130704,680665
38098,211,84661,Bedok Sth Ave 3,Blk 172,1.319928116,103.9443891,24,-8,193.4751129,460165
,215,84681,Bedok Sth Rd,Blk 163,1.320218344,103.9470593,24,-8,108.0587676,460165
,216,84691,Bedok Sth Rd,Blk 171,1.321118056,103.9459575,24,-8,91.01001618,460165
67307,91,65031,Punggol Rd,Blk 227D,1.387111444,103.9016776,15,5,126.1795989,541124
,92,65039,Punggol Rd,Blk 124,1.38732059,103.9018557,15,5,96.94491585,541124
64887,252,66361,S'goon Ave 2,Blk 319,1.352585018,103.8682485,9,-2,104.3528381,550245
38354,288,53251,Bishan St 11,BLK 125,1.346788295,103.8519982,5,-3,61.5376098,570125
,289,53259,Bishan St 11,Opp Blk 125,1.347115959,103.8519958,5,-3,49.11421515,570125
,319,53409,Bishan St 12,Blk 131,1.345346097,103.8512681,5,-3,199.3262875,570125
64551,343,67249,Compassvale Rd,Blk 259C,1.393765715,103.8985042,15,7,188.1132121,540253
,344,67251,Compassvale St,Compassvale Stn Exit A,1.394428622,103.9003122,15,7,50.08719537,540253
,345,67259,Compassvale St,Compassvale Stn Exit B,1.394653861,103.9004624,15,7,79.30450158,540253
47389,60,44271,Teck Whye Ave,Bet Blks 13/14,1.378671147,103.7561477,-14,4,139.839074,680016
,61,44279,Teck Whye Ave,Blk 157,1.379108677,103.7563546,-14,4,177.1210741,680016
,84,44411,Teck Whye Lane,Blk 108,1.378525556,103.75323,-14,4,186.9993944,680016
,86,44439,Teck Whye Lane,Blk 9,1.37983733,103.754295,-14,4,170.8511966,680016
25416,111,84109,Bedok Sth Ave 3,Blk 50,1.323508364,103.944121,24,-7,183.975077,461052
46250,186,59131,Yishun Ring Rd,Blk 137,1.43192546,103.8296918,1,14,194.6493985,760132
2727,245,45399,Choa Chu Kang Nth 7,Regent Gr Condo,1.399840833,103.7499128,-15,8,187.2464461,682692
,249,45439,Choa Chu Kang Cres,Opp Blk 661,1.401271944,103.7511553,-15,8,70.3628633,682692
66848,308,77011,Pasir Ris Dr 1,Opp Blk 515,1.3737649,103.9426659,24,3,166.2055853,510517
,309,77019,Pasir Ris Dr 1,Blk 515,1.3737108,103.9435108,24,3,114.0956896,510517
,333,77141,Pasir Ris St 52,Blk 519,1.37380309,103.9452982,24,3,187.9519512,510517
54866,52,22499,Jurong West St 64,Opp Blk 662C,1.337187,103.704805,-24,-5,197.8029606,644660
,53,22501,Jurong West St 63,Blk 662A,1.337691991,103.7029713,-24,-5,149.0130655,644660
,54,22509,Jurong West St 63,Blk 664C,1.337994051,103.7032349,-24,-5,179.9727618,644660
,65,22561,Boon Lay Way,Blk 660 Cp,1.334970385,103.7041443,-24,-5,186.4359715,644660
51351,319,67121,Sengkang East Way,Blk 142A,1.389498056,103.90519,16,6,114.0192427,540138
,320,67129,Sengkang East Way,Blk 137,1.389368441,103.9049889,16,6,90.34241044,540138
74010,346,61009,Potong Pasir Ave 1,Blk 122,1.335211667,103.8666325,8,-5,95.03826617,350123
,357,61079,Potong Pasir Ave 1,Blk 121,1.335986409,103.8652543,8,-5,103.7895888,350123
59013,376,54341,Ang Mo Kio Ave 8,Opp Blk 504,1.374621421,103.8478247,5,3,155.1768638,560503
,377,54349,Ang Mo Kio Ave 8,Blk 504,1.374773333,103.8481053,5,3,120.2626373,560503
,378,54351,Ang Mo Kio Ave 5,Nanyang Poly,1.376477779,103.8500347,5,3,165.6334833,560503
,379,54359,Ang Mo Kio Ave 5,Blk 502,1.376153348,103.8499921,5,3,139.5778198,560503
66237,129,44651,Bt Panjang Ring Rd,Blk 617,1.38533395,103.7628965,-12,5,164.8892308,670651
,130,44659,Bt Panjang Ring Rd,Blk 537A CP,1.384967631,103.762921,-12,5,199.8329406,670651
,140,44721,Bt Panjang Ring Rd,Opp Jelapang Stn,1.386791083,103.764919,-12,5,141.9290952,670651
,151,44821,Senja Link,Blk 651,1.386376111,103.7633844,-12,5,39.70775313,670651
,152,44829,Senja Link,Opp Blk 650,1.386714167,103.7630575,-12,5,67.04702808,670651
,169,44931,Senja Close,Blk 643 CP,1.387703,103.763361,-12,5,125.3130605,670651
62166,219,76041,Tampines St 82,BLK 842C,1.351221785,103.9365069,22,-2,42.854097,523842
,220,76049,Tampines St 82,OPP BLK 842C,1.351182523,103.936332,22,-2,55.07563829,523842
21903,343,67249,Compassvale Rd,Blk 259C,1.393765715,103.8985042,15,7,183.207573,542292
63382,9,70171,Circuit Rd,Blk 77,1.328336667,103.8854714,12,-6,109.1334767,370035
,10,70181,Circuit Rd,Blk 36,1.328861771,103.8869172,12,-6,105.9379627,370035
54006,246,45401,Choa Chu Kang Cres,Blk 681,1.402799726,103.7459427,-16,8,79.11744067,680682
59975,187,17201,Clementi Ave 4,Blk 308,1.320557151,103.7673489,-12,-8,188.1085159,120306
28127,449,21601,Corporation Dr,Blk 357,1.337270296,103.7210977,-21,-5,132.3370349,612338
,450,21609,Corporation Dr,Opp Blk 364,1.337751668,103.7210263,-21,-5,107.5094168,612338
37888,155,84351,Bedok Nth St 1,Bedok Ctrl PO,1.327665624,103.9340968,22,-7,137.4654442,460409
,156,84359,Bedok Nth St 1,Opp Bedok Ctrl PO,1.327877049,103.9340762,22,-7,128.7941027,460409
51687,251,76201,Tampines Ave 7,Blk 423,1.356874994,103.9479674,25,-1,157.023221,521235
,252,76209,Tampines Ave 7,Blk 233,1.356603328,103.9476691,25,-1,139.7893603,521235
1307,288,53251,Bishan St 11,BLK 125,1.346788295,103.8519982,5,-3,186.9041941,570128
,318,53401,Bishan St 12,Guangyang Sec Sch,1.345416667,103.8504889,5,-3,74.59379255,570128
,319,53409,Bishan St 12,Blk 131,1.345346097,103.8512681,5,-3,121.2344692,570128
,320,53419,Bishan St 12,Opp Guangyang Pr Sch,1.346399965,103.8498088,5,-3,80.81830441,570128
39443,60,44271,Teck Whye Ave,Bet Blks 13/14,1.378671147,103.7561477,-14,4,178.2552281,680011
,61,44279,Teck Whye Ave,Blk 157,1.379108677,103.7563546,-14,4,170.0107037,680011
,62,44281,Teck Whye Ave,Blk 8,1.381049158,103.7542274,-14,4,164.8933046,680011
,86,44439,Teck Whye Lane,Blk 9,1.37983733,103.754295,-14,4,75.31743565,680011
81461,105,44531,Choa Chu Kang Ave 4,Opp Choa Chu Kang Stn,1.384254053,103.7445362,-16,5,199.9090211,680306
63454,86,72011,Jln Eunos,Blk 322,1.328165,103.9054836,16,-7,121.3484959,400323
64347,65,58101,Canberra Rd,Blk 311,1.446672778,103.8228228,0,17,186.3274823,750302
,66,58109,Canberra Rd,Opp Blk 311,1.446676079,103.823093,0,17,184.6345487,750302
,122,58399,Sembawang Ave,Opp Blk 303,1.443999125,103.8225647,0,17,125.8514904,750302
62976,67,44311,Bangkit Rd,Opp Blk 253,1.379304102,103.7743492,-10,4,112.2729477,670251
,69,44329,Bt Panjang Ring Rd,Bangkit Stn,1.380215011,103.7725763,-10,4,177.7049298,670251
89495,404,67551,Sengkang West Way,Blk 471A,1.396005293,103.8792729,11,7,192.4754107,793468
806,183,84511,Bedok Reservoir Rd,Blk 608,1.332069722,103.9132942,18,-6,146.4906216,470135
49811,141,65341,Punggol Field,Opp Blk 272C,1.40194695,103.900923,15,8,199.4527004,822274
,142,65349,Punggol Field,Blk 272C,1.402220886,103.9007796,15,8,194.6479099,822274
39807,187,17201,Clementi Ave 4,Blk 308,1.320557151,103.7673489,-12,-8,115.0848505,120309
69787,430,46951,Woodlands Dr 14,Blk 536A,1.431436922,103.791333,-7,14,195.4488857,733571
,433,46971,Woodlands Ave 1,Woodgrove Pr Sch,1.431875556,103.7903425,-7,14,172.723531,733571
,434,46979,Woodlands Ave 1,Opp Blk 507,1.431305556,103.7906544,-7,14,130.9813018,733571
,133,58461,Champions Way,Innova Pr Sch,1.429655918,103.7904456,-7,14,98.41580704,733571
87138,105,65141,Punggol Way,Aft Soo Teck Stn,1.404548056,103.8971639,14,9,178.3870415,822261
,106,65149,Punggol Way,Bef Soo Teck Stn,1.404440466,103.8969248,14,9,180.821788,822261
88365,151,65401,Punggol Ctrl,Opp Blk 264A,1.406531821,103.8987118,15,9,172.7003935,820308
,152,65409,Punggol Ctrl,Bef Blk 264,1.406244969,103.8995745,15,9,172.9463201,820308
,180,65601,Punggol Ctrl,Sumang Stn Exit B,1.407698056,103.89849,15,9,124.7946542,820308
,181,65609,Punggol Ctrl,Sumang Stn Exit A,1.407746111,103.8981261,15,9,164.7658773,820308
89244,162,65461,Sumang Link,Blk 312 CP,1.409858889,103.9012999,15,10,156.4285689,823310
,163,65469,Sumang Link,Blk 310B,1.409823056,103.9009779,15,10,120.4728165,823310
,182,65611,Punggol Way,Nibong Stn Exit B,1.411380592,103.9003026,15,10,190.6814343,823310
,192,65679,Sumang Link,Opp punggol cove pr sch,1.410983,103.898983,15,10,173.9565276,823310
9301,318,67119,Sengkang East Way,Blk 128,1.390508244,103.9032358,16,6,60.78452454,540128
70271,12,70201,Circuit Rd,OPP MACPHERSON STN EXIT D,1.324611389,103.8888542,13,-7,101.2873417,370072
89529,105,65141,Punggol Way,Aft Soo Teck Stn,1.404548056,103.8971639,14,9,168.3495603,823256
,106,65149,Punggol Way,Bef Soo Teck Stn,1.404440466,103.8969248,14,9,155.1390382,823256
,166,65491,Sumang Walk,Opp Blk 259 CP,1.404563202,103.8949605,14,9,140.6782377,823256
,167,65499,Sumang Walk,Blk 259 CP,1.404551428,103.8949706,14,9,140.7067212,823256
81048,319,67121,Sengkang East Way,Blk 142A,1.389498056,103.90519,16,6,121.2983579,540139
,320,67129,Sengkang East Way,Blk 137,1.389368441,103.9049889,16,6,94.76987959,540139
22413,321,67131,Rivervale Dr,Bakau Stn/Blk 122F,1.387678056,103.9052739,16,5,58.50581298,540135
,322,67139,Rivervale Dr,Nth Spring Pr Sch,1.387157147,103.9041758,16,5,144.0508653,540135
,400,67531,Sengkang East Way,Blk 158C,1.387868072,103.9067669,16,5,196.0438636,540135
,401,67539,Sengkang East Way,Blk 122C,1.387720204,103.9066129,16,5,182.6692714,540135
11222,381,67439,Compassvale St,Blk 291A,1.395493749,103.8973703,14,7,175.1154561,542290
74222,168,17101,Clementi Rd,Blk 352,1.314874732,103.771792,-11,-9,183.0136101,120354
74178,82,44391,Choa Chu Kang Dr,Aft Blk 202,1.382889709,103.7483103,-15,4,116.7176821,680211
,83,44399,Choa Chu Kang Dr,Opp Blk 210,1.383062786,103.74851,-15,4,143.6256424,680211
,93,44471,Choa Chu Kang Ctrl,Blk 234,1.380470371,103.7480232,-15,4,161.5927875,680211
,94,44479,Choa Chu Kang Ctrl,Blk 206,1.380479304,103.7482817,-15,4,165.5127099,680211
53117,221,59311,Yishun Ring Rd,Blk 760,1.426048437,103.8321861,1,13,106.5285724,760727
,222,59319,Yishun Ring Rd,Blk 729,1.426171667,103.8320108,1,13,85.65775289,760727
74746,221,59311,Yishun Ring Rd,Blk 760,1.426048437,103.8321861,1,13,68.76298038,760729
,222,59319,Yishun Ring Rd,Blk 729,1.426171667,103.8320108,1,13,57.87224933,760729
54961,55,22511,Jurong West St 63,Blk 658C,1.337461817,103.7002967,-25,-5,87.55174136,640607
,56,22519,Jurong West St 63,Blk 608,1.337733596,103.6999522,-25,-5,38.9399088,640607
68212,67,44311,Bangkit Rd,Opp Blk 253,1.379304102,103.7743492,-10,4,60.97448479,670253
68128,88,83341,Lengkong Tiga,Blk 102,1.325399682,103.911098,17,-7,125.7437228,410106
72743,93,65041,Punggol Rd,Blk 231,1.389844124,103.9016227,15,6,100.6136412,540233
,94,65049,Punggol Rd,Blk 126A,1.389935,103.9018717,15,6,127.681267,540233
,316,67109,Sengkang East Way,Blk 235,1.391028856,103.8999867,15,6,145.7282253,540233
48859,13,22241,Jurong West St 62,Opp Blk 622,1.340122707,103.6993839,-25,-4,98.08226102,640601
,14,22249,Jurong West St 62,Blk 622,1.340160074,103.6986544,-25,-4,173.7033573,640601
44323,254,76219,Tampines Ave 7,Blk 230E,1.356441687,103.9511442,25,-1,193.7666145,520259
,284,76401,Tampines St 21,Blk 230B,1.355013333,103.9508617,25,-1,98.15418459,520259
,285,76409,Tampines St 21,Blk 259,1.354846709,103.9507955,25,-1,95.41344677,520259
37098,488,47581,Woodlands Ave 5,Opp Blk 521,1.43464495,103.7935267,-6,15,105.4888891,730521
,489,47589,Woodlands Ave 5,Blk 519A CP,1.434791069,103.7925444,-6,15,147.5472409,730521
77832,251,76201,Tampines Ave 7,Blk 423,1.356874994,103.9479674,25,-1,96.46173079,521232
,252,76209,Tampines Ave 7,Blk 233,1.356603328,103.9476691,25,-1,116.6027422,521232
61804,251,76201,Tampines Ave 7,Blk 423,1.356874994,103.9479674,25,-1,169.0351347,521231
,252,76209,Tampines Ave 7,Blk 233,1.356603328,103.9476691,25,-1,182.1265163,521231
53165,389,54411,Ang Mo Kio St 52,Blk 527,1.372353056,103.8542292,6,2,125.7777727,560576
,390,54419,Ang Mo Kio St 52,Opp Blk 527,1.372061678,103.8548909,6,2,73.35166023,560576
58891,383,46651,Woodlands Ave 4,Blk 550,1.432980969,103.7945526,-6,14,158.4385201,730555
,384,46659,Woodlands Ave 4,Opp Blk 550,1.432692728,103.794143,-6,14,189.1776916,730555
,476,47511,Woodlands Dr 16,Blk 554,1.431903546,103.7964478,-6,14,83.54631295,730555
64622,343,67249,Compassvale Rd,Blk 259C,1.393765715,103.8985042,15,7,149.2613511,540254
,344,67251,Compassvale St,Compassvale Stn Exit A,1.394428622,103.9003122,15,7,64.72577668,540254
,345,67259,Compassvale St,Compassvale Stn Exit B,1.394653861,103.9004624,15,7,89.77695457,540254
65585,391,46691,Woodlands Ave 4,Opp 888 Plaza,1.438231325,103.7958789,-6,15,56.923222,730602
,392,46699,Woodlands Ave 4,888 Plaza,1.437699899,103.7956632,-6,15,99.1760289,730602
34774,206,66051,Boundary Rd,Opp Blk 257,1.355854994,103.8719619,9,-1,81.2535831,550257
,207,66059,Boundary Rd,Blk 257A,1.355531417,103.872123,9,-1,46.16392405,550257
68272,131,44661,Jelapang Rd,Blk 532,1.384475172,103.7649959,-12,5,77.33315883,670528
,132,44669,Jelapang Rd,Opp Blk 532,1.384285766,103.7648975,-12,5,97.56745927,670528
,133,44671,Saujana Rd,Bet Blks 502/503,1.383779602,103.766031,-12,5,121.2762655,670528
,134,44679,Saujana Rd,Opp Blk 502,1.383533778,103.7659952,-12,5,145.6987714,670528
71255,252,66361,S'goon Ave 2,Blk 319,1.352585018,103.8682485,9,-2,102.9445274,550322
,262,66411,S'goon Ave 3,Blk 326,1.350029727,103.8690312,9,-2,195.8402715,550322
,263,66419,S'goon Ave 3,Blk 330,1.350216389,103.8693094,9,-2,185.2805214,550322
48033,13,70211,Pipit Rd,Blk 90,1.323621667,103.8869617,12,-7,178.2480885,370052
78093,190,17221,Clementi Ave 5,Blk 377,1.317356313,103.7679002,-11,-9,156.8248312,120344
,191,17229,Clementi Ave 5,Blk 335,1.317284025,103.7682421,-11,-9,132.0986874,120344
74257,8,82033,Sims Ave,Blk 414,1.317984493,103.8982372,15,-9,50.2329494,400415
,34,82221,Jln Turi,Blk 3A,1.317605117,103.8990071,15,-9,145.3094949,400415
46349,364,54281,Ang Mo Kio Ave 3,Blk 570,1.369490257,103.8560128,6,2,85.39793411,560572
,365,54289,Ang Mo Kio Ave 3,Blk 452,1.369149,103.855987,6,2,123.1552793,560572
,415,54581,Ang Mo Kio Ave 10,Blk 574,1.371058333,103.8566583,6,2,117.2159615,560572
,416,54589,Ang Mo Kio Ave 10,Blk 555,1.371734416,103.8567189,6,2,183.7761769,560572
44272,204,66041,Boundary Rd,Blk 230,1.355723031,103.8697219,9,-1,72.48794452,NIL
,205,66049,Boundary Rd,Blk 233,1.355354753,103.8689649,9,-1,111.1002204,NIL
1744,52,44231,Bt Panjang Rd,Zhenghua Pr Sch,1.379166868,103.7693349,-11,4,189.1133008,670402
,72,44341,Fajar Rd,Blk 401A CP,1.381170297,103.7691773,-11,4,155.1783246,670402
,73,44349,Fajar Rd,Bet Blks 443A/443B,1.381333034,103.7693281,-11,4,179.5234688,670402
,120,44609,Saujana Rd,Blk 408,1.382014552,103.7681709,-11,4,189.2631903,670402
67908,417,46851,Woodlands Ring Rd,Blk 664,1.436126667,103.7976127,-5,15,89.15213514,730663
78850,67,44311,Bangkit Rd,Opp Blk 253,1.379304102,103.7743492,-10,4,166.4316387,670250
,69,44329,Bt Panjang Ring Rd,Bangkit Stn,1.380215011,103.7725763,-10,4,133.8142946,670250
83321,162,65461,Sumang Link,Blk 312 CP,1.409858889,103.9012999,15,10,117.0549718,823312
,163,65469,Sumang Link,Blk 310B,1.409823056,103.9009779,15,10,122.5471632,823312
,182,65611,Punggol Way,Nibong Stn Exit B,1.411380592,103.9003026,15,10,111.2587884,823312
,183,65619,Punggol Way,Nibong Stn Exit A,1.411537636,103.9000027,15,10,148.8258359,823312
40776,169,52129,Jln Bahagia,Blk 29,1.325446667,103.8593811,7,-7,197.1492359,320007
18110,314,77041,Pasir Ris Dr 1,Blk 541,1.369448546,103.9513045,25,2,111.5106064,510544
,315,77049,Pasir Ris Dr 1,Pasir Ris Town Pk,1.36963557,103.9515831,25,2,99.35336545,510544
,373,77369,Pasir Ris St 51,Opp Blk 555,1.368366661,103.951664,25,2,90.04324145,510544
75430,318,67119,Sengkang East Way,Blk 128,1.390508244,103.9032358,16,6,136.1005706,540140
,319,67121,Sengkang East Way,Blk 142A,1.389498056,103.90519,16,6,165.3502669,540140
,320,67129,Sengkang East Way,Blk 137,1.389368441,103.9049889,16,6,142.4729387,540140
1959,147,44801,Senja Rd,Opp Blk 628,1.385035109,103.7590834,-13,5,167.1297302,670629
,148,44809,Senja Rd,Blk 628,1.385000837,103.7597843,-13,5,178.5541855,670629
,149,44811,Senja Rd,West Spring Sec Sch,1.387154726,103.7602083,-13,5,124.4188721,670629
,150,44819,Senja Rd,Opp West Spring Sec Sch,1.387075394,103.7600479,-13,5,104.7667806,670629
,156,44861,Senja Rd,BLK 636A,1.38669201,103.7587731,-13,5,59.02907465,670629
,157,44869,Senja Rd,Bef Blk 629A Cp,1.38658739,103.7588623,-13,5,46.72472814,670629
60183,10,70181,Circuit Rd,Blk 36,1.328861771,103.8869172,12,-6,126.9451415,370029
38770,16,44051,Woodlands Rd,Opp Blk 632 CP,1.384408117,103.7580198,-13,5,135.5576997,671633
,17,44059,Woodlands Rd,Blk 632 CP,1.384496317,103.758176,-13,5,122.3756871,671633
,147,44801,Senja Rd,Opp Blk 628,1.385035109,103.7590834,-13,5,102.661082,671633
,148,44809,Senja Rd,Blk 628,1.385000837,103.7597843,-13,5,172.9055318,671633
,156,44861,Senja Rd,BLK 636A,1.38669201,103.7587731,-13,5,131.770627,671633
,157,44869,Senja Rd,Bef Blk 629A Cp,1.38658739,103.7588623,-13,5,125.2821258,671633
8130,97,58271,Sembawang Cres,Blk 335,1.447027835,103.8147065,-2,17,37.25054438,750335
,98,58279,Sembawang Cres,Opp Blk 336A CP,1.446584623,103.8145692,-2,17,80.99823629,750335
,120,58389,Sembawang Way,Opp Blk 469B,1.44773992,103.8135667,-2,17,172.8742648,750335
17071,87,72019,Jln Eunos,Opp Blk 322,1.328846284,103.9054651,16,-6,89.50409648,400321
28099,449,21601,Corporation Dr,Blk 357,1.337270296,103.7210977,-21,-5,76.47784096,611339
,450,21609,Corporation Dr,Opp Blk 364,1.337751668,103.7210263,-21,-5,49.77613726,611339
31380,338,11071,Queensway,Blk 97,1.306213056,103.8017094,-5,-11,24.43300454,140097
,339,11079,Queensway,Opp Blk 95,1.305441389,103.8018525,-5,-11,89.10380078,140097
,400,11439,C'wealth Dr,Blk 92,1.306064722,103.8002978,-5,-11,133.3934227,140097
7613,136,65319,Punggol Dr,Oasis Stn Exit A,1.402578056,103.912445,17,8,57.23156779,822617
35924,219,76041,Tampines St 82,BLK 842C,1.351221785,103.9365069,22,-2,68.14314252,522842
,220,76049,Tampines St 82,OPP BLK 842C,1.351182523,103.936332,22,-2,86.60441568,522842
47082,133,44671,Saujana Rd,Bet Blks 502/503,1.383779602,103.766031,-12,5,80.20032316,670502
,134,44679,Saujana Rd,Opp Blk 502,1.383533778,103.7659952,-12,5,86.3090886,670502
68142,288,53251,Bishan St 11,BLK 125,1.346788295,103.8519982,5,-3,153.1458959,570178
,289,53259,Bishan St 11,Opp Blk 125,1.347115959,103.8519958,5,-3,118.2549892,570178
57790,251,76201,Tampines Ave 7,Blk 423,1.356874994,103.9479674,25,-1,107.9519346,521234
,252,76209,Tampines Ave 7,Blk 233,1.356603328,103.9476691,25,-1,87.064404,521234
13642,346,61009,Potong Pasir Ave 1,Blk 122,1.335211667,103.8666325,8,-5,130.8919119,350129
,357,61079,Potong Pasir Ave 1,Blk 121,1.335986409,103.8652543,8,-5,139.6795121,350129
73447,308,77011,Pasir Ris Dr 1,Opp Blk 515,1.3737649,103.9426659,24,3,105.949708,510516
,309,77019,Pasir Ris Dr 1,Blk 515,1.3737108,103.9435108,24,3,48.74796888,510516
,333,77141,Pasir Ris St 52,Blk 519,1.37380309,103.9452982,24,3,198.9338942,510516
23984,233,76111,Tampines Ave 4,Blk 945,1.351574554,103.9402339,23,-2,175.7417709,524856
,234,76119,Tampines Ave 4,Opp Blk 945,1.351886646,103.9400903,23,-2,151.7596174,524856
67537,138,75081,Tampines Ave 3,Blk 831,1.349869419,103.9342674,22,-2,169.963953,520822
,139,75089,Tampines Ave 3,Blk 827,1.349771459,103.9340473,22,-2,162.8682022,520822
72230,129,65271,Punggol Ctrl,Opp Blk 188,1.400166,103.910274,17,8,89.912949,823622
,130,65279,Punggol Ctrl,Bet Blks 187/188,1.399297261,103.911034,17,8,152.0686822,823622
54113,247,45411,Choa Chu Kang Cres,Opp Blk 670,1.403514518,103.7476735,-15,9,57.5196921,682685
86118,138,44701,Bt Panjang Ring Rd,Blk 548B,1.389271446,103.7687969,-11,6,65.43884485,671549
,139,44709,Segar Rd,Blk 547C,1.388541894,103.7684297,-11,6,127.9801342,671549
82664,137,44699,Segar Rd,BLK 457,1.388053005,103.7715434,-11,5,170.2725333,671547
52465,184,52201,Lor 2 Toa Payoh,Blk 121,1.339180307,103.8465076,4,-4,127.259398,310125
,185,52209,Lor 2 Toa Payoh,Blk 101C CP,1.339258732,103.8467845,4,-4,155.2846257,310125
16740,214,17371,Clementi Ave 6,Blk 201,1.320581947,103.7635659,-12,-8,161.6658898,120303
,215,17379,Clementi Ave 6,Blk 304,1.320490892,103.7638943,-12,-8,138.3061065,120303
